#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.815506e-02       3.262148e-03       2.161935e-02       1.450320e-01       4.704919e-02       1.087819e-01
         500       5.778843e-02       1.381664e-02       3.438121e-02       2.729549e-01       6.606016e-02       1.755422e-01
        1000       5.905001e-02       8.921616e-03       4.016174e-02       3.158251e-01       1.036966e-01       1.763837e-01
        1500       5.748077e-02       1.214896e-02       3.591353e-02       3.375364e-01       6.284758e-02       1.827636e-01
        2000       5.393162e-02       9.750426e-03       3.523889e-02       3.211903e-01       1.035010e-01       2.032043e-01
        2500       6.588961e-02       1.114403e-02       3.618719e-02       2.624921e-01       9.988080e-02       1.627153e-01
        3000       7.733735e-02       1.489099e-02       4.243924e-02       2.359426e-01       8.683984e-02       1.408937e-01
        3500       6.563607e-02       1.608811e-02       4.188885e-02       5.561379e-01       7.893721e-02       2.670981e-01
        4000       5.052835e-02       1.130568e-02       3.366086e-02       2.748470e-01       9.776204e-02       1.992508e-01
        4500       9.731557e-02       1.654123e-02       4.437165e-02       3.082742e-01       7.168804e-02       1.596203e-01
        5000       4.797401e-02       1.171314e-02       3.375447e-02       2.372083e-01       8.061247e-02       1.440899e-01
        5500       3.968113e-02       1.383833e-02       2.885009e-02       2.671260e-01       1.132067e-01       2.055607e-01
        6000       8.149503e-02       9.314869e-03       3.850718e-02       3.074819e-01       1.210547e-01       1.844293e-01
