#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.37e+01    1.66e+01      8.46e-01    7.13e-01      2.36e-01    4.62e-01      5.06e-01    5.22e-01    1.0e-03
    100      1.13e+01    1.20e+01      1.34e-01    6.01e-02      3.07e-01    3.23e-01      6.04e-01    7.56e-01    9.5e-04
    200      1.09e+01    7.45e+00      1.36e-01    1.21e-01      3.13e-01    2.24e-01      5.20e-01    2.41e-01    9.0e-04
    300      8.43e+00    4.57e+00      7.26e-02    1.14e-01      2.63e-01    4.84e-02      2.96e-01    7.21e-01    8.6e-04
    400      7.60e+00    7.07e+00      1.47e-01    2.73e-01      2.28e-01    2.04e-01      2.95e-01    4.00e-01    8.2e-04
    500      6.96e+00    7.56e+00      1.42e-01    1.41e-01      2.19e-01    2.56e-01      2.63e-01    1.80e-01    7.8e-04
    600      6.97e+00    8.59e+00      3.51e-02    3.90e-02      2.12e-01    2.67e-01      4.25e-01    5.77e-01    7.4e-04
    700      7.43e+00    8.30e+00      9.13e-02    1.55e-01      2.41e-01    2.42e-01      3.50e-01    6.58e-01    7.0e-04
    800      5.65e+00    5.23e+00      9.01e-02    8.81e-02      1.83e-01    5.62e-02      3.14e-01    9.23e-01    6.7e-04
    900      6.54e+00    6.08e+00      1.30e-01    3.87e-02      1.93e-01    2.17e-01      5.36e-01    3.52e-01    6.3e-04
   1000      5.72e+00    6.07e+00      1.43e-01    1.94e-01      1.98e-01    2.11e-01      2.90e-01    3.83e-01    6.0e-04
   1100      5.08e+00    7.69e+00      4.50e-02    8.16e-02      1.83e-01    2.68e-01      2.71e-01    5.81e-01    5.7e-04
   1200      5.10e+00    4.79e+00      2.83e-02    8.28e-02      2.03e-01    1.58e-01      2.11e-01    4.21e-01    5.4e-04
   1300      4.98e+00    3.06e+00      4.62e-02    2.22e-01      1.97e-01    1.27e-02      2.37e-01    5.73e-01    5.2e-04
   1400      4.22e+00    3.78e+00      8.25e-02    1.61e-02      1.54e-01    1.44e-01      3.17e-01    2.91e-01    4.9e-04
   1500      4.06e+00    5.68e+00      1.76e-01    2.39e-02      1.25e-01    2.30e-01      4.02e-01    4.05e-01    4.7e-04
   1600      4.21e+00    2.96e+00      5.72e-02    2.38e-01      1.64e-01    4.34e-02      3.56e-01    5.48e-01    4.4e-04
   1700      4.50e+00    3.20e+00      7.42e-02    1.68e-02      1.93e-01    1.44e-01      2.89e-01    1.36e-01    4.2e-04
   1800      4.31e+00    3.26e+00      4.37e-02    2.11e-01      1.89e-01    7.16e-02      2.45e-01    6.05e-01    4.0e-04
   1900      3.99e+00    1.54e+00      6.14e-02    1.95e-02      1.82e-01    4.52e-02      2.31e-01    2.80e-01    3.8e-04
   2000      3.37e+00    1.30e+00      3.84e-02    1.77e-02      1.54e-01    2.82e-02      2.21e-01    2.67e-01    3.6e-04
   2100      3.00e+00    3.34e+00      5.64e-02    1.41e-02      1.55e-01    1.64e-01      9.47e-02    2.20e-01    3.4e-04
   2200      1.50e+00    3.39e+00      6.87e-02    2.91e-02      3.61e-02    1.77e-01      3.03e-01    1.76e-01    3.3e-04
   2300      2.72e+00    4.43e+00      5.21e-02    1.01e-02      1.36e-01    2.27e-01      1.41e-01    2.28e-01    3.1e-04
   2400      3.59e+00    1.33e+00      4.57e-02    1.63e-01      1.76e-01    3.53e-02      3.18e-01    2.32e-01    3.0e-04
   2500      3.37e+00    4.17e+00      8.53e-02    2.56e-02      1.67e-01    2.24e-01      2.77e-01    2.21e-01    2.8e-04
   2600      2.66e+00    3.75e+00      6.98e-02    1.07e-02      1.22e-01    2.02e-01      3.19e-01    2.23e-01    2.7e-04
   2700      3.67e+00    2.91e+00      9.23e-03    2.94e-02      2.04e-01    1.74e-01      2.13e-01    1.48e-01    2.5e-04
   2800      3.50e+00    9.10e-01      4.32e-02    1.23e-02      2.01e-01    3.09e-02      2.27e-01    1.94e-01    2.4e-04
   2900      2.72e+00    1.34e+00      4.90e-02    2.80e-02      1.44e-01    4.83e-02      2.72e-01    2.86e-01    2.3e-04
   3000      2.12e+00    2.86e+00      3.52e-02    8.28e-02      1.19e-01    1.82e-01      1.54e-01    1.53e-01    2.2e-04
   3100      1.90e+00    8.40e-01      9.07e-02    1.44e-01      1.03e-01    2.38e-03      1.83e-01    1.66e-01    2.1e-04
   3200      2.68e+00    2.64e+00      5.38e-02    6.59e-03      1.70e-01    1.73e-01      1.73e-01    1.36e-01    2.0e-04
   3300      2.52e+00    2.52e+00      3.47e-02    1.17e-02      1.67e-01    1.59e-01      1.75e-01    1.73e-01    1.9e-04
   3400      2.85e+00    1.18e+00      2.90e-02    6.50e-02      1.85e-01    6.18e-02      2.07e-01    2.18e-01    1.8e-04
   3500      2.34e+00    9.18e-01      7.32e-02    1.05e-01      1.42e-01    2.94e-02      2.29e-01    2.02e-01    1.7e-04
   3600      1.84e+00    2.36e+00      1.09e-01    2.13e-02      1.13e-01    1.49e-01      1.92e-01    1.99e-01    1.6e-04
   3700      2.39e+00    4.02e-01      3.79e-02    7.56e-02      1.55e-01    3.17e-03      2.16e-01    8.18e-02    1.5e-04
   3800      2.20e+00    2.60e+00      5.13e-02    8.06e-02      1.48e-01    1.99e-01      1.83e-01    1.79e-01    1.5e-04
   3900      2.64e+00    2.44e+00      6.14e-02    2.69e-02      1.91e-01    1.94e-01      2.64e-01    1.66e-01    1.4e-04
   4000      1.89e+00    2.87e+00      5.53e-02    1.10e-01      1.48e-01    2.00e-01      1.16e-01    3.27e-01    1.3e-04
   4100      2.07e+00    1.01e+00      9.51e-02    1.87e-01      1.43e-01    2.42e-02      2.17e-01    2.09e-01    1.2e-04
   4200      1.86e+00    2.40e+00      3.39e-02    1.29e-02      1.59e-01    1.83e-01      8.60e-02    1.97e-01    1.2e-04
   4300      2.38e+00    7.03e-01      2.33e-02    1.20e-01      1.86e-01    1.48e-02      2.15e-01    1.61e-01    1.1e-04
   4400      2.04e+00    2.98e+00      2.01e-02    1.01e-02      1.69e-01    2.46e-01      1.61e-01    2.31e-01    1.1e-04
   4500      1.99e+00    2.43e+00      2.62e-02    8.91e-02      1.71e-01    2.08e-01      1.71e-01    2.34e-01    1.0e-04
   4600      1.83e+00    1.65e+00      2.24e-02    8.50e-02      1.49e-01    1.47e-01      1.86e-01    1.41e-01    9.7e-05
   4700      2.14e+00    2.86e+00      1.28e-02    5.66e-03      1.85e-01    2.36e-01      1.82e-01    2.69e-01    9.2e-05
   4800      1.35e+00    1.83e+00      7.34e-02    8.88e-03      1.12e-01    1.58e-01      1.61e-01    1.65e-01    8.7e-05
   4900      1.62e+00    2.47e+00      4.30e-02    3.38e-02      1.51e-01    2.16e-01      1.32e-01    3.13e-01    8.3e-05
   5000      1.60e+00    1.04e+00      3.01e-02    6.10e-02      1.34e-01    5.72e-02      1.71e-01    2.72e-01    7.9e-05
   5100      1.75e+00    7.76e-01      7.76e-02    5.05e-02      1.66e-01    4.21e-02      1.91e-01    2.05e-01    7.5e-05
   5200      2.12e+00    1.54e+00      2.47e-02    2.08e-02      2.10e-01    1.37e-01      1.86e-01    1.60e-01    7.1e-05
   5300      1.36e+00    2.15e+00      8.27e-02    1.60e-02      1.16e-01    2.15e-01      1.97e-01    1.93e-01    6.8e-05
   5400      1.69e+00    5.79e-01      2.32e-02    1.43e-01      1.62e-01    8.40e-03      2.05e-01    1.12e-01    6.4e-05
   5500      1.26e+00    1.85e+00      6.44e-02    8.65e-02      1.08e-01    1.96e-01      1.98e-01    2.07e-01    6.1e-05
   5600      2.01e+00    1.32e+00      2.18e-02    1.31e-02      1.94e-01    1.45e-01      2.16e-01    1.12e-01    5.8e-05
   5700      1.37e+00    2.31e+00      3.34e-02    4.94e-02      1.44e-01    2.19e-01      1.79e-01    3.62e-01    5.5e-05
   5800      1.27e+00    1.46e+00      4.17e-02    7.23e-02      1.53e-01    1.82e-01      1.12e-01    1.09e-01    5.3e-05
   5900      1.52e+00    5.96e-01      4.55e-02    9.27e-02      1.76e-01    1.56e-02      1.69e-01    1.65e-01    5.0e-05
   6000      9.83e-01    8.90e-01      6.68e-02    2.30e-02      8.29e-02    5.52e-02      1.80e-01    2.58e-01    4.8e-05
   6100      1.07e+00    1.16e+00      8.81e-02    2.19e-02      1.12e-01    1.58e-01      9.20e-02    6.48e-02    4.5e-05
   6200      1.04e+00    6.94e-01      4.80e-02    1.19e-01      1.03e-01    2.47e-02      1.32e-01    1.85e-01    4.3e-05
   6300      1.37e+00    1.91e+00      3.10e-02    3.26e-02      1.76e-01    1.96e-01      1.65e-01    3.25e-01    4.1e-05
   6400      1.46e+00    5.93e-01      2.00e-02    1.27e-01      1.62e-01    1.67e-02      1.82e-01    1.44e-01    3.9e-05
   6500      1.68e+00    1.60e+00      3.32e-02    5.51e-02      2.14e-01    2.18e-01      1.96e-01    1.89e-01    3.7e-05
   6600      9.80e-01    8.12e-01      5.51e-02    6.73e-02      1.25e-01    5.73e-02      1.02e-01    2.33e-01    3.5e-05
   6700      1.59e+00    1.42e+00      3.40e-02    1.04e-01      1.60e-01    1.95e-01      2.64e-01    1.61e-01    3.3e-05
   6800      1.24e+00    1.61e+00      2.03e-02    3.55e-02      1.75e-01    1.75e-01      1.38e-01    2.91e-01    3.2e-05
   6900      6.66e-01    1.36e+00      3.26e-02    5.74e-02      8.41e-02    2.03e-01      9.90e-02    1.61e-01    3.0e-05
   7000      1.22e+00    6.11e-01      4.42e-02    1.51e-01      1.53e-01    1.00e-02      2.09e-01    1.36e-01    2.9e-05
   7100      1.24e+00    5.87e-01      4.12e-02    1.21e-01      1.41e-01    1.85e-02      1.67e-01    1.52e-01    2.7e-05
   7200      1.17e+00    1.98e+00      3.81e-02    3.14e-02      1.39e-01    2.18e-01      1.79e-01    3.82e-01    2.6e-05
   7300      1.32e+00    1.59e+00      4.68e-02    1.10e-02      1.40e-01    2.21e-01      2.63e-01    1.93e-01    2.5e-05
   7400      1.03e+00    5.07e-01      5.21e-02    1.36e-01      1.38e-01    7.38e-03      1.67e-01    1.04e-01    2.3e-05
   7500      8.42e-01    1.07e+00      6.15e-02    3.27e-02      1.22e-01    1.83e-01      9.62e-02    1.35e-01    2.2e-05
   7600      6.85e-01    1.18e+00      1.30e-01    3.17e-02      2.38e-02    1.69e-01      1.83e-01    2.02e-01    2.1e-05
   7700      1.46e+00    1.27e+00      1.93e-02    5.89e-02      2.26e-01    2.08e-01      1.79e-01    1.86e-01    2.0e-05
   7800      9.03e-01    7.77e-01      5.76e-02    5.12e-03      1.54e-01    1.14e-01      1.04e-01    1.01e-01    1.9e-05
   7900      8.44e-01    1.28e+00      2.70e-02    7.53e-03      1.29e-01    1.53e-01      1.33e-01    1.90e-01    1.8e-05
   8000      1.46e+00    5.09e-01      1.49e-02    2.47e-02      1.83e-01    4.19e-02      2.15e-01    1.60e-01    1.7e-05
   8100      1.07e+00    8.70e-01      9.75e-03    1.62e-02      1.77e-01    1.80e-01      1.58e-01    9.64e-02    1.6e-05
   8200      8.02e-01    8.33e-01      3.82e-02    3.88e-03      1.47e-01    1.32e-01      9.84e-02    1.11e-01    1.6e-05
   8300      1.03e+00    6.48e-01      4.78e-02    1.19e-01      1.39e-01    3.64e-02      2.03e-01    1.81e-01    1.5e-05
   8400      9.76e-01    5.44e-01      4.89e-02    8.94e-02      1.70e-01    1.85e-02      1.69e-01    1.62e-01    1.4e-05
   8500      1.24e+00    1.37e+00      6.99e-02    8.37e-03      1.74e-01    2.02e-01      2.40e-01    1.98e-01    1.3e-05
   8600      9.14e-01    1.45e+00      4.22e-02    8.40e-03      1.92e-01    1.98e-01      1.22e-01    2.20e-01    1.3e-05
   8700      1.30e+00    1.24e+00      1.81e-02    7.85e-02      1.83e-01    2.33e-01      2.03e-01    1.99e-01    1.2e-05
   8800      6.46e-01    1.83e+00      2.96e-02    6.31e-02      1.15e-01    2.39e-01      1.05e-01    3.88e-01    1.1e-05
   8900      1.09e+00    1.42e+00      2.22e-02    3.32e-02      1.32e-01    2.17e-01      1.80e-01    2.90e-01    1.1e-05
