#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.94e+01    1.47e+01      4.31e-01    1.15e+00      5.54e-01    2.76e-01      3.87e-01    6.51e-01    1.0e-03
    100      7.43e+00    9.44e+00      2.13e-01    1.63e-01      1.72e-01    2.52e-01      5.40e-01    5.88e-01    9.5e-04
    200      1.60e+01    3.85e+01      3.46e-01    1.63e+00      4.89e-01    1.23e+00      3.05e-01    8.12e-01    9.0e-04
    300      1.20e+01    8.66e+00      2.11e-01    2.72e-01      3.35e-01    2.35e-01      7.24e-01    5.60e-01    8.6e-04
    400      1.46e+01    8.55e+00      4.50e-01    8.20e-02      4.69e-01    2.47e-01      4.80e-01    5.77e-01    8.2e-04
    500      1.43e+01    6.89e+00      4.77e-01    4.54e-02      4.22e-01    2.38e-01      6.61e-01    1.65e-01    7.8e-04
    600      7.53e+00    2.94e+00      1.62e-01    4.65e-02      2.03e-01    2.48e-02      6.26e-01    5.08e-01    7.4e-04
    700      7.52e+00    3.90e+00      1.15e-01    4.91e-02      2.22e-01    1.38e-01      5.85e-01    1.19e-01    7.0e-04
    800      7.25e+00    5.68e+00      6.24e-02    1.84e-01      2.57e-01    1.98e-01      3.00e-01    4.12e-01    6.7e-04
    900      5.47e+00    6.10e+00      1.84e-02    2.21e-02      1.95e-01    2.39e-01      2.54e-01    8.91e-02    6.3e-04
   1000      8.74e+00    1.98e+01      6.33e-02    2.15e-03      3.19e-01    8.06e-01      3.98e-01    5.68e-02    6.0e-04
   1100      1.41e+01    8.77e+00      5.67e-01    8.81e-02      5.63e-01    3.57e-01      4.89e-01    2.61e-01    5.7e-04
   1200      5.26e+00    1.36e+01      1.37e-01    2.35e-01      1.89e-01    5.75e-01      3.23e-01    3.39e-01    5.4e-04
   1300      4.57e+00    2.53e+01      7.01e-02    1.35e+00      1.73e-01    1.06e+00      2.44e-01    7.79e-01    5.2e-04
   1400      5.08e+00    1.24e+01      3.04e-02    2.04e-02      2.16e-01    5.58e-01      1.78e-01    6.59e-02    4.9e-04
   1500      6.85e+00    3.84e+00      3.56e-02    7.63e-02      2.92e-01    1.28e-01      3.69e-01    5.50e-01    4.7e-04
   1600      3.64e+00    4.39e+00      2.49e-01    1.22e-01      1.23e-01    2.02e-01      3.18e-01    1.93e-01    4.4e-04
   1700      6.28e+00    4.18e+00      4.89e-02    1.55e-02      2.92e-01    1.95e-01      2.37e-01    1.25e-01    4.2e-04
   1800      5.27e+00    2.69e+00      5.99e-02    1.21e-01      2.53e-01    1.23e-01      1.80e-01    2.05e-01    4.0e-04
   1900      7.58e+00    5.85e+00      2.02e-01    1.28e-01      3.60e-01    2.89e-01      3.44e-01    1.94e-01    3.8e-04
   2000      4.34e+00    1.51e+01      1.01e-01    3.44e-03      2.03e-01    7.91e-01      2.51e-01    7.29e-02    3.6e-04
   2100      3.27e+00    5.54e+00      4.12e-02    3.40e-02      1.65e-01    2.86e-01      1.27e-01    2.50e-01    3.4e-04
   2200      3.48e+00    4.65e+00      1.50e-01    5.71e-03      1.71e-01    2.33e-01      1.97e-01    2.31e-01    3.3e-04
   2300      6.91e+00    1.53e+00      1.24e-02    4.01e-02      3.81e-01    4.71e-02      1.29e-01    3.01e-01    3.1e-04
   2400      2.67e+00    4.00e+00      6.20e-02    3.91e-02      1.31e-01    2.11e-01      2.60e-01    2.79e-01    3.0e-04
   2500      4.49e+00    4.14e+00      5.69e-02    6.04e-02      2.47e-01    2.41e-01      2.36e-01    1.33e-01    2.8e-04
   2600      2.82e+00    4.88e+00      4.58e-02    8.80e-02      1.59e-01    2.92e-01      1.54e-01    1.42e-01    2.7e-04
   2700      3.39e+00    3.02e+00      1.01e-01    1.66e-02      1.89e-01    1.71e-01      2.15e-01    1.66e-01    2.5e-04
   2800      6.38e+00    3.63e+00      2.76e-01    1.22e-01      3.84e-01    2.24e-01      3.26e-01    1.34e-01    2.4e-04
